Trial Number,Event,Time
85,States.TrialStarted,1706538302.6709857
85,States.M1CM2D,1706538302.6709857
86,States.TrialCompleted,1706538302.6709857
86,States.CenterReward,1706538302.6709857
86,States.TrialStarted,1706538302.6709857
86,States.M1CM2D,1706538302.6709857
87,States.TrialCompleted,1706538302.6709857
87,States.CenterReward,1706538302.6709857
87,States.TrialStarted,1706538302.675988
87,States.M1CM2D,1706538302.675988
88,States.TrialCompleted,1706538302.675988
88,States.CenterReward,1706538302.675988
88,States.TrialStarted,1706538302.675988
88,States.M1CM2D,1706538302.675988
89,States.TrialCompleted,1706538302.675988
89,States.CenterReward,1706538302.675988
89,States.TrialStarted,1706538302.678499
89,States.M1CM2D,1706538302.678499
90,States.TrialCompleted,1706538302.678499
90,States.CenterReward,1706538302.678499
90,States.TrialStarted,1706538302.678499
90,States.M1CM2D,1706538302.678499
91,States.TrialCompleted,1706538302.678499
91,States.CenterReward,1706538302.678499
91,States.TrialStarted,1706538302.678499
91,States.M1CM2D,1706538302.678499
92,States.TrialCompleted,1706538302.678499
92,States.CenterReward,1706538302.678499
92,States.TrialStarted,1706538302.678499
92,States.M1CM2D,1706538302.678499
93,States.TrialCompleted,1706538302.678499
93,States.CenterReward,1706538302.678499
93,States.TrialStarted,1706538302.678499
93,States.M1CM2D,1706538302.678499
94,States.TrialCompleted,1706538302.6834931
94,States.CenterReward,1706538302.6834931
94,States.TrialStarted,1706538302.6834931
94,States.M1CM2D,1706538302.6834931
95,States.TrialCompleted,1706538302.6834931
95,States.CenterReward,1706538302.6834931
95,States.TrialStarted,1706538302.6834931
95,States.M1CM2D,1706538302.6834931
96,States.TrialCompleted,1706538302.6834931
96,States.CenterReward,1706538302.6834931
96,States.TrialStarted,1706538302.6834931
96,States.M1CM2D,1706538302.6834931
97,States.TrialCompleted,1706538302.6834931
97,States.CenterReward,1706538302.6834931
97,States.TrialStarted,1706538302.6834931
97,States.M1CM2D,1706538302.6834931
98,States.TrialCompleted,1706538302.6834931
98,States.CenterReward,1706538302.688493
98,States.TrialStarted,1706538302.688493
98,States.M1CM2D,1706538302.688493
99,States.TrialCompleted,1706538302.688493
99,States.CenterReward,1706538302.688493
99,States.TrialStarted,1706538302.688493
99,States.M1CM2D,1706538302.688493
100,States.TrialCompleted,1706538302.688493
100,States.End,1706538302.688493
