Trial Number,Event,Time
62,States.M1CM2C,1706538267.0868568
63,States.TrialCompleted,1706538267.0868568
63,States.CenterReward,1706538267.0868568
63,States.TrialStarted,1706538267.0868568
63,States.M1CM2C,1706538267.0868568
64,States.TrialCompleted,1706538267.0868568
64,States.CenterReward,1706538267.0868568
64,States.TrialStarted,1706538267.0868568
64,States.M1CM2C,1706538267.0868568
65,States.TrialCompleted,1706538267.0868568
65,States.CenterReward,1706538267.0868568
65,States.TrialStarted,1706538267.0868568
65,States.M1CM2C,1706538267.0868568
66,States.TrialCompleted,1706538267.0868568
66,States.CenterReward,1706538267.0868568
66,States.TrialStarted,1706538267.0868568
66,States.M1CM2C,1706538267.0868568
67,States.TrialCompleted,1706538267.0918572
67,States.CenterReward,1706538267.0918572
67,States.TrialStarted,1706538267.0918572
67,States.M1CM2C,1706538267.0918572
68,States.TrialCompleted,1706538267.0918572
68,States.CenterReward,1706538267.0918572
68,States.TrialStarted,1706538267.0918572
68,States.M1CM2C,1706538267.0918572
69,States.TrialCompleted,1706538267.0918572
69,States.CenterReward,1706538267.0918572
69,States.TrialStarted,1706538267.0918572
69,States.M1CM2C,1706538267.0918572
70,States.TrialCompleted,1706538267.0918572
70,States.CenterReward,1706538267.0918572
70,States.TrialStarted,1706538267.0918572
70,States.M1CM2C,1706538267.0918572
71,States.TrialCompleted,1706538267.0918572
71,States.CenterReward,1706538267.0968568
71,States.TrialStarted,1706538267.0968568
71,States.M1CM2C,1706538267.0968568
72,States.TrialCompleted,1706538267.0968568
72,States.CenterReward,1706538267.0968568
72,States.TrialStarted,1706538267.0968568
72,States.M1CM2C,1706538267.0968568
73,States.TrialCompleted,1706538267.0968568
73,States.CenterReward,1706538267.0968568
73,States.TrialStarted,1706538267.0968568
73,States.M1CM2C,1706538267.0968568
74,States.TrialCompleted,1706538267.0968568
74,States.CenterReward,1706538267.0968568
74,States.TrialStarted,1706538267.0968568
74,States.M1CM2C,1706538267.0968568
75,States.TrialCompleted,1706538267.0968568
75,States.CenterReward,1706538267.101857
75,States.TrialStarted,1706538267.101857
75,States.M1CM2C,1706538267.101857
76,States.TrialCompleted,1706538267.101857
76,States.CenterReward,1706538267.101857
76,States.TrialStarted,1706538267.101857
76,States.M1CM2C,1706538267.101857
77,States.TrialCompleted,1706538267.101857
77,States.CenterReward,1706538267.101857
77,States.TrialStarted,1706538267.101857
77,States.M1CM2C,1706538267.101857
78,States.TrialCompleted,1706538267.101857
78,States.CenterReward,1706538267.101857
78,States.TrialStarted,1706538267.101857
78,States.M1CM2C,1706538267.101857
79,States.TrialCompleted,1706538267.101857
79,States.CenterReward,1706538267.101857
79,States.TrialStarted,1706538267.106857
79,States.M1CM2C,1706538267.106857
80,States.TrialCompleted,1706538267.106857
80,States.CenterReward,1706538267.106857
80,States.TrialStarted,1706538267.106857
80,States.M1CM2C,1706538267.106857
81,States.TrialCompleted,1706538267.106857
81,States.CenterReward,1706538267.106857
81,States.TrialStarted,1706538267.106857
81,States.M1CM2C,1706538267.106857
82,States.TrialCompleted,1706538267.106857
82,States.CenterReward,1706538267.106857
82,States.TrialStarted,1706538267.106857
82,States.M1CM2C,1706538267.106857
83,States.TrialCompleted,1706538267.106857
83,States.CenterReward,1706538267.1118574
83,States.TrialStarted,1706538267.1118574
83,States.M1CM2C,1706538267.1118574
84,States.TrialCompleted,1706538267.1118574
84,States.CenterReward,1706538267.1118574
84,States.TrialStarted,1706538267.1118574
84,States.M1CM2C,1706538267.1118574
85,States.TrialCompleted,1706538267.1118574
85,States.CenterReward,1706538267.1118574
85,States.TrialStarted,1706538267.1118574
85,States.M1CM2C,1706538267.1118574
86,States.TrialCompleted,1706538267.1118574
86,States.CenterReward,1706538267.1118574
86,States.TrialStarted,1706538267.1118574
86,States.M1CM2C,1706538267.1118574
87,States.TrialCompleted,1706538267.1118574
87,States.CenterReward,1706538267.1168566
87,States.TrialStarted,1706538267.1168566
87,States.M1CM2C,1706538267.1168566
88,States.TrialCompleted,1706538267.1168566
88,States.CenterReward,1706538267.1168566
88,States.TrialStarted,1706538267.1168566
88,States.M1CM2C,1706538267.1168566
89,States.TrialCompleted,1706538267.1168566
89,States.CenterReward,1706538267.1168566
89,States.TrialStarted,1706538267.1168566
89,States.M1CM2C,1706538267.1168566
90,States.TrialCompleted,1706538267.1168566
90,States.CenterReward,1706538267.1168566
90,States.TrialStarted,1706538267.1168566
90,States.M1CM2C,1706538267.1168566
91,States.TrialCompleted,1706538267.1168566
91,States.CenterReward,1706538267.1168566
91,States.TrialStarted,1706538267.1168566
91,States.M1CM2C,1706538267.1218567
92,States.TrialCompleted,1706538267.1218567
92,States.CenterReward,1706538267.1218567
92,States.TrialStarted,1706538267.1218567
92,States.M1CM2C,1706538267.1218567
93,States.TrialCompleted,1706538267.1218567
93,States.CenterReward,1706538267.1218567
93,States.TrialStarted,1706538267.1218567
93,States.M1CM2C,1706538267.1218567
94,States.TrialCompleted,1706538267.1218567
94,States.CenterReward,1706538267.1218567
94,States.TrialStarted,1706538267.1218567
94,States.M1CM2C,1706538267.1218567
95,States.TrialCompleted,1706538267.1218567
95,States.CenterReward,1706538267.1218567
95,States.TrialStarted,1706538267.1268573
95,States.M1CM2C,1706538267.1268573
96,States.TrialCompleted,1706538267.1268573
96,States.CenterReward,1706538267.1268573
96,States.TrialStarted,1706538267.1268573
96,States.M1CM2C,1706538267.1268573
97,States.TrialCompleted,1706538267.1268573
97,States.CenterReward,1706538267.1268573
97,States.TrialStarted,1706538267.1268573
97,States.M1CM2C,1706538267.1268573
98,States.TrialCompleted,1706538267.1268573
98,States.CenterReward,1706538267.1268573
98,States.TrialStarted,1706538267.1268573
98,States.M1CM2C,1706538267.1268573
99,States.TrialCompleted,1706538267.1268573
99,States.CenterReward,1706538267.1268573
99,States.TrialStarted,1706538267.1318574
99,States.M1CM2C,1706538267.1318574
100,States.TrialCompleted,1706538267.1318574
100,States.End,1706538267.1318574
